cohort_name,estimate,value,diagnostics,source
diagnosis_of_prostate_cancer,Percentage male,99% to 100% (Almost all diagnosis_of_prostate_cancer individuals are male.),cohort_characteristics,mistral-large-latest
diagnosis_of_prostate_cancer,Survival at five years,"75% to 98% (The five-year survival rate for prostate cancer is generally high, but varies depending on the stage at diagnosis, with approximately 98% for localised disease but only 30% for metastatic disease.)",cohort_survival,mistral-large-latest
diagnosis_of_prostate_cancer,Cohort overlap,"0-1% with diagnosis_of_ankle_sprain, 1-5% with new_user_of_morphine.",compare_cohorts,mistral-large-latest
diagnosis_of_prostate_cancer,Cohort timing,"For people in diagnosis_of_prostate_cancer who also appear in new_user_of_morphine they typically would enter diagnosis_of_prostate_cancer first, some time before entering new_user_of_morphine (perhaps a matter of months to years) and for diagnosis_of_ankle_sprain there is no clear ordering as the overlap is largely due to chance alone.",compare_cohorts,mistral-large-latest
diagnosis_of_prostate_cancer,Frequently seen comorbidities,"Hypertension, Hyperlipidaemia, Type 2 Diabetes, Obesity, Benign Prostatic Hyperplasia, Erectile Dysfunction, Lower Urinary Tract Symptoms, Chronic Kidney Disease, Depression, Osteoarthritis. (These comorbidities are commonly seen in older males.)","large_scale_characteristics, compare_large_scale_characteristics",mistral-large-latest
diagnosis_of_prostate_cancer,Frequently seen signs and symptoms,"Lower Urinary Tract Symptoms, Erectile Dysfunction, Nocturia, Haematuria, Back Pain, Weight Loss, Urinary Incontinence, Urinary Retention, Fatigue, Bone Pain. (These signs and symptoms are often associated with prostate cancer due to the local effects of the tumour or metastatic disease.)","large_scale_characteristics, compare_large_scale_characteristics",mistral-large-latest
diagnosis_of_prostate_cancer,Frequently seen medications,"Docetaxel, Cabazitaxel, Abiraterone, Enzalutamide, Apalutamide, Darolutamide, Leuprorelin, Goserelin, Degarelix, Bicalutamide. (These medications are commonly used in the treatment of prostate cancer, including hormonal therapies and chemotherapy agents.)","large_scale_characteristics, compare_large_scale_characteristics",mistral-large-latest
new_user_of_morphine,Clinical description,"New users of morphine are typically individuals experiencing moderate to severe pain, often due to trauma, surgery, or chronic conditions such as cancer.",cohort_count,mistral-large-latest
new_user_of_morphine,Frequency,"New users of morphine are commonly seen in both primary care and hospital settings, and can be identified in various types of real-world healthcare data, including electronic health records and insurance data.",cohort_count,mistral-large-latest
new_user_of_morphine,Median age of incident cases,"50 to 70 (Individuals typically present at ages between 50 and 70, as this age group often experiences conditions requiring significant pain management.)",cohort_characteristics,mistral-large-latest
new_user_of_morphine,Percentage male,"40% to 60% (The proportion of males among new users of morphine is fairly balanced, reflecting the diverse range of conditions that require morphine for pain management.)",cohort_characteristics,mistral-large-latest
new_user_of_morphine,Survival at five years,"30% to 70% (Mortality among new users of morphine can vary widely depending on the underlying condition, with some individuals having a poor prognosis due to advanced illnesses such as cancer.)",cohort_survival,mistral-large-latest
new_user_of_morphine,Cohort overlap,"0-2% with diagnosis_of_ankle_sprain, 10-20% with diagnosis_of_prostate_cancer",compare_cohorts,mistral-large-latest
new_user_of_morphine,Cohort timing,"For diagnosis_of_ankle_sprain, new users of morphine may enter the cohort at the same time or shortly after (within days) due to acute pain management, while for diagnosis_of_prostate_cancer, new users of morphine may enter the cohort months to years after the cancer diagnosis due to progression of the disease requiring stronger pain management.",compare_cohorts,mistral-large-latest
new_user_of_morphine,Frequently seen comorbidities,"Lower back pain, major depressive disorder, essential (primary) hypertension, type 2 diabetes without complication, morbid obesity, anxiety disorder, chronic airway obstruction, not elsewhere classified, other diseases of lung, other chronic obstructive pulmonary disease. (These comorbidities are commonly seen among new users of morphine due to the prevalence of chronic pain and the need for pain management in these conditions.)","large_scale_characteristics, compare_large_scale_characteristics",mistral-large-latest
new_user_of_morphine,Frequently seen signs and symptoms,"Pain, shortness of breath, cough, wheezing, chest pain, fatigue, oedema, expectoration, cough with sputum, abdominal distention. (These signs and symptoms are often associated with conditions that require morphine for pain management, such as chronic obstructive pulmonary disease and cancer.)","large_scale_characteristics, compare_large_scale_characteristics",mistral-large-latest
new_user_of_morphine,Frequently seen medications,"Paracetamol, Ibuprofen, Codeine, Gabapentin, Pregabalin, Amitriptyline, Naproxen, Diclofenac, Tramadol, Celecoxib. (These medications are commonly used for pain management and are often prescribed alongside morphine to manage various types of pain.)","large_scale_characteristics, compare_large_scale_characteristics",mistral-large-latest
